,fullname,points,position
661,Deshaun Watson,340.7,QB
662,O.J. Howard,86.5,TE
663,Evan Engram,81.3,TE
664,David Njoku,87.9,TE
665,Zay Jones,109.2,WR
666,Curtis Samuel,97.8,WR
667,Dalvin Cook,112.0,RB
668,Gerald Everett,53.6,TE
669,Adam Shaheen,12.8,TE
670,Joe Mixon,200.4,RB
671,DeShone Kizer,7.38,QB
672,JuJu Smith-Schuster,185.9,WR
673,Alvin Kamara,273.2,RB
674,Cooper Kupp,95.1,WR
675,Taywan Taylor,50.6,WR
676,ArDarius Stewart,0.0,WR
677,Carlos Henderson,0.0,WR
678,Chris Godwin,126.2,WR
679,Kareem Hunt,204.2,RB
680,Davis Webb,0.0,QB
681,D'Onta Foreman,8.7,RB
682,Kenny Golladay,137.1,WR
683,Chad Williams,24.0,WR
684,Jonnu Smith,43.8,TE
685,C.J. Beathard,81.98,QB
686,James Conner,225.0,RB
687,Amara Darboh,0.0,WR
688,Dede Westbrook,113.5,WR
689,Samaje Perine,3.7,RB
690,Josh Reynolds,71.0,WR
691,Mack Hollins,0.0,WR
692,Tarik Cohen,162.94,RB
693,Joe Williams,0.0,RB
694,Michael Roberts,28.0,TE
695,Josh Malone,1.2,WR
696,Donnel Pumphrey,0.0,RB
697,Ryan Switzer,33.4,WR
698,Jamaal Williams,87.4,RB
699,Joshua Dobbs,1.82,QB
700,Jehu Chesson,0.3,WR
701,Wayne Gallman Jr.,30.5,RB
702,Chad Hansen,0.0,WR
703,Marlon Mack,161.1,RB
704,Jake Butt,8.5,TE
705,George Kittle,170.7,TE
706,Jordan Leggett,17.4,TE
707,Jake Elliott,122.0,K
708,Jeremy Sprinkle,10.1,TE
709,Brian Hill,14.6,RB
710,Jeremy McNichols,0.4,RB
711,Shelton Gibson,4.8,WR
712,Nathan Peterman,19.84,QB
713,Isaiah McKenzie,34.5,WR
714,Eric Saubert,4.8,TE
715,DeAngelo Yancey,0.0,WR
716,Trent Taylor,29.5,WR
717,T.J. Logan,3.9,RB
718,Aaron Jones,145.4,RB
719,Elijah McGuire,66.9,RB
720,Alex Armah,14.0,RB
721,Bucky Hodges,0.0,TE
722,Sam Rogers,0.0,RB
723,De'Angelo Henderson,-0.1,RB
724,Robert Davis,0.0,WR
725,Brad Kaaya,0.0,QB
726,Stacy Coley,0.0,WR
727,Zane Gonzalez,41.0,K
728,David Moore,75.0,WR
729,Harrison Butker,147.0,K
730,Isaiah Ford,0.0,WR
731,Devante Mays,0.0,RB
732,Noah Brown,5.4,WR
733,Marquez Williams,0.0,RB
734,Elijah Hood,0.0,RB
735,Khalfani Muhammad,0.0,RB
736,Malachi Dupre,0.0,WR
737,Chris Carson,181.4,RB
738,Mason Schreck,0.0,TE
739,Matt Dayes,0.0,RB
740,Chad Kelly,-0.1,QB
741,Justin Davis,1.9,RB
742,Johnny Mundt,0.5,TE
743,Austin Duke,0.0,WR
744,Fred Ross Jr.,0.0,WR
745,Scott Orndoff,0.0,TE
746,Amba Etta-Tawo,0.0,WR
747,Keelan Cole,51.1,WR
748,Tim Cook,0.0,RB
749,Travin Dural,0.0,WR
750,Sean Culkin,2.4,TE
751,Austin Ekeler,129.8,RB
752,Andre Patton,0.0,WR
753,Artavis Scott,0.0,WR
754,Josiah Price,0.0,TE
755,Deante Burton,0.0,WR
756,Alek Torgersen,0.0,QB
757,Antony Auclair,4.8,TE
758,Thomas Sperbeck,0.0,WR
759,Bobo Wilson,5.2,WR
760,Carlton Agudosi,0.0,WR
761,Krishawn Hogan,0.0,WR
762,Ricky Seals-Jones,40.3,TE
763,James Summers,0.0,RB
764,Zach Pascal,39.8,WR
765,Tim White,1.4,WR
766,Tim Patrick,37.2,WR
767,Quincy Adeboyejo,0.0,WR
768,C.J. Board,0.0,WR
769,Taquan Mizzell,15.4,RB
770,Ricky Ortiz,1.1,RB
771,Dalton Crossan,0.0,RB
772,Darrell Daniels,0.0,TE
773,Trey Griffey,0.0,WR
774,Bug Howard,0.0,WR
775,Colin Jeter,0.0,TE
776,JoJo Natson Jr.,-2.0,WR
777,Brandon Radcliff,0.0,RB
778,Phillip Walker,0.0,QB
779,Victor Bolden Jr.,1.0,WR
780,Kendrick Bourne,72.7,WR
781,Matt Breida,135.5,RB
782,K.D. Cannon,0.0,WR
783,Cole Hikutini,0.0,TE
784,Nick Mullens,133.48,QB
785,Brisly Estime,0.0,WR
786,Anthony Firkser,28.5,TE
787,Cethan Carter,0.0,TE
788,Jarveon Williams,0.0,RB
789,Jason Croom,33.9,TE
790,Brandon Reilly,0.0,WR
791,Keith Towbridge,0.0,TE
792,Michael Clark,0.0,WR
793,Montay Crockett,0.0,WR
794,Taysom Hill,31.56,QB
795,Pharaoh Brown,0.0,TE
796,Keon Hatcher,0.8,WR
